weekid,song,performer,week_position,Last Week,peak_position,weeks_on_chart,Image URL,month,week_of_year,is_december
1968-07-03,Amen,Otis Redding,91,91,1,1,https://charts-static.billboard.com/img/1968/07/otis-redding-v1b-106x106.jpg,7,27,False
1968-07-10,Amen,Otis Redding,62,91,62,2,https://charts-static.billboard.com/img/1968/07/otis-redding-v1b-106x106.jpg,7,28,False
1968-07-17,Amen,Otis Redding,44,62,44,3,https://charts-static.billboard.com/img/1968/07/otis-redding-v1b-106x106.jpg,7,29,False
1968-07-24,Amen,Otis Redding,36,44,36,4,https://charts-static.billboard.com/img/1968/07/otis-redding-v1b-106x106.jpg,7,30,False
1968-07-31,Amen,Otis Redding,52,36,36,5,https://charts-static.billboard.com/img/1968/07/otis-redding-v1b-106x106.jpg,7,31,False
1968-12-11,My Favorite Things,Herb Alpert & The Tijuana Brass,75,75,1,1,https://charts-static.billboard.com/img/1968/12/herb-alpert-hn0-106x106.jpg,12,50,True
1968-12-18,My Favorite Things,Herb Alpert & The Tijuana Brass,47,75,47,2,https://charts-static.billboard.com/img/1968/12/herb-alpert-hn0-106x106.jpg,12,51,True
1968-12-25,My Favorite Things,Herb Alpert & The Tijuana Brass,47,47,47,3,https://charts-static.billboard.com/img/1968/12/herb-alpert-hn0-106x106.jpg,12,52,True
1969-01-01,My Favorite Things,Herb Alpert & The Tijuana Brass,46,47,46,4,https://charts-static.billboard.com/img/1968/12/herb-alpert-hn0-106x106.jpg,1,1,False
1969-01-08,My Favorite Things,Herb Alpert & The Tijuana Brass,45,46,45,5,https://charts-static.billboard.com/img/1968/12/herb-alpert-hn0-106x106.jpg,1,2,False
1969-01-15,My Favorite Things,Herb Alpert & The Tijuana Brass,54,45,45,6,https://charts-static.billboard.com/img/1968/12/herb-alpert-hn0-106x106.jpg,1,3,False
1969-12-03,Winter World Of Love,Engelbert Humperdinck,84,84,1,1,https://charts-static.billboard.com/img/1969/12/engelbert-humperdinck-tdy-106x106.jpg,12,49,True
1969-12-10,Winter World Of Love,Engelbert Humperdinck,71,84,71,2,https://charts-static.billboard.com/img/1969/12/engelbert-humperdinck-tdy-106x106.jpg,12,50,True
